parcl_property_id,event_type,event_name,event_date,price,address,city,county_name,BG_ID,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built,price_sf
197814680,SALE,SOLD,2023-06-07,287525.0,282 MAGNOLIA VILLAS DR,Cornelia City,Habersham,131370006041,34.5044997,-83.5544939,Single family,3.0,2.0,1522.0,2023.0,188.9126149802891
197814566,SALE,SOLD,2024-04-19,530000.0,817 BLOSSOM LN,Cornelia City,Habersham,131370006041,34.506171,-83.552516,Single family,5.0,3.5,3006.0,2023.0,176.3140385894877
197814566,SALE,SOLD,2024-03-05,423000.0,817 BLOSSOM LN,Cornelia City,Habersham,131370006041,34.506171,-83.552516,Single family,5.0,3.5,3006.0,2023.0,140.7185628742515
197504993,SALE,SOLD,2022-11-30,389800.0,2552 HIGHWAY 115,,Habersham,131370002011,34.594196,-83.59855,Single family,4.0,3.0,2068.0,2022.0,188.49129593810446
197282793,SALE,SOLD,2023-08-16,381000.0,846 WILBANKS RD,,Habersham,131370006012,34.484413,-83.591644,Single family,4.0,4.5,2000.0,2022.0,190.5
164488707,SALE,SOLD,2023-03-28,584900.0,876 SWEETGRASS CT,,Habersham,131370005021,34.571413,-83.51545,Single family,4.0,3.5,2980.0,2022.0,196.2751677852349
137453713,SALE,SOLD,2023-08-16,195000.0,223 SUGAR MAPLE DR,Cornelia City,Habersham,131370005012,34.521854,-83.518939,Single family,3.0,2.0,1408.0,2020.0,138.4943181818182
137453713,SALE,SOLD,2023-08-11,285000.0,223 SUGAR MAPLE DR,Cornelia City,Habersham,131370005012,34.521854,-83.518939,Single family,3.0,2.0,1408.0,2020.0,202.41477272727272
94247819,SALE,SOLD,2022-11-03,15000.0,323 ABBINGTON WAY,,Habersham,131370003002,34.620267,-83.486337,Single family,3.0,4.0,2603.0,2022.0,5.762581636573185
75920262,SALE,SOLD,2023-11-30,346400.0,267 PANACEA LN,,Habersham,131370002011,34.615128,-83.579767,Single family,3.0,2.5,1894.0,2023.0,182.89334741288278
75920262,SALE,SOLD,2023-07-03,30565.0,267 PANACEA LN,,Habersham,131370002011,34.615128,-83.579767,Single family,3.0,2.5,1894.0,2023.0,16.13780359028511
72006289,SALE,SOLD,2024-02-08,329900.0,264 HIGHLAND POINTE DR,Baldwin City,Habersham,131370006012,34.489978,-83.588113,Single family,4.0,2.5,2131.0,2021.0,154.80994838104178
68225735,SALE,SOLD,2024-04-03,373000.0,710 WESTCREST LN,,Habersham,131370005023,34.531556,-83.55667,Single family,4.0,2.5,1957.0,2020.0,190.59785385794584
469277495,SALE,SOLD,2023-08-14,550000.0,443 E WATER ST,Clarkesville City,Habersham,131370003002,34.617268,-83.521346,Single family,2.0,3.0,1480.0,2022.0,371.6216216216216
